"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
2003,"all",16,59,38,38
2003,"unsexed",16,59,38,38
2004,"all",7,17,17,17
2004,"unsexed",7,17,17,17
2005,"all",11,19,26,19
2005,"unsexed",11,19,26,19
2006,"all",12,42,29,29
2006,"unsexed",12,42,29,29
2007,"all",5,12,12,12
2007,"unsexed",5,12,12,12
2008,"all",13,35,31,31
2008,"unsexed",13,35,31,31
2009,"all",6,28,14,14
2009,"unsexed",6,28,14,14
2010,"all",14,51,34,34
2010,"unsexed",14,51,34,34
2011,"all",10,43,24,24
2011,"unsexed",10,43,24,24
2012,"all",12,38,29,29
2012,"unsexed",12,38,29,29
2013,"all",9,30,21,21
2013,"unsexed",9,30,21,21
2014,"all",19,92,46,46
2014,"unsexed",19,92,46,46
2015,"all",11,48,26,26
2015,"unsexed",11,48,26,26
2016,"all",20,71,48,48
2016,"unsexed",20,71,48,48
