"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","u0","u1","u2","u3","u4","u5","u6","u7","u8","u9","u10","u11","u12","u13","u14","u15","u16","u17","u18","u19","u20","u21","u22","u23","u24","u25","u26","u27","u28","u29","u30","u31","u32","u33","u34","u35","u36","u37","u38","u39","u40","u41","u42","u43","u44","u45","u46","u47","u48","u49","u50","u51","u52","u53","u54","u55","u56","u57","u58","u59","u60","u61","u62","u63","u64","u65"
2003,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,38,0,0,0,0,0,0,0,0.480241701002408,0.765555116455761,2.87198593968109,21.6993437912334,1.13379716541416,55.8732352451901,2.70494865699841,0.412384283350462,0.773357618913372,0.370925538833011,1.29362564553235,2.15596133655042,1.62809602921709,0.480241701002408,1.65794638603373,0.336209641591647,1.14959358612159,0.480241701002408,0,0,0,0,0,0.336209641591647,0.672419283183293,0,0,0,0,0.819438212283716,0.336209641591647,0,0,0.483228570692069,0.336209641591647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748593924942109
2004,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,17,0,0,0,0,0,0,0,0,0,8.23835515973525,12.0341656624375,0,0,0,0,6.61973124615522,3.96551130647232,7.15937357980223,0,11.2785511596698,0,0,0,5.47025137509655,12.8154370210313,0,0,5.47025137509655,0,0,7.15937357980223,0,7.15937357980223,0,0,0,0,0,0,7.15937357980223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47025137509655,0,0,0,0,0
2005,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,19,0,0,0,4.23453250247243,0,0,0,7.31494515299468,0,0,0,4.95817235889625,13.7579407638971,4.58598025463238,15.1702566374382,0,7.31494515299468,7.67060500449106,0,4.58598025463238,0,10.7774102080323,6.8701528172375,0,4.30496682304399,0,0,0,0,0,4.52679995517054,0,0,0,3.92731211406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,29,0,0,0,0,0,3.0888704923929,0,1.99377758427224,0,0,5.03946181952514,0,2.10496927169579,11.2808538721534,2.5304794288699,6.71892093404683,0,12.8115488160981,0,6.75847231823217,2.50898239065524,4.12634065155184,4.12634065155184,2.5304794288699,4.21766185952726,4.44686428198084,4.53818548995626,2.06317032577592,0,4.21766185952726,0,0,0,0,0,5.04966456025725,1.99377758427224,0,2.89517302650591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95834335228183
2007,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,17.201166681717,0,8.60058334085849,0,8.60058334085849,0,6.6399105633737,8.60058334085849,8.60058334085849,16.7857469223728,0,6.6399105633737,0,0,0,0,0,0,9.01943461335986,0,0,9.31149729236898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,31,0,0,0,0,0,0,0,5.66730206256045,0,7.88723205748027,8.32791295616223,0,1.94933681315166,0,9.61053583825244,4.64975174912148,0,2.81989885039902,0,0,0,4.54121443093957,0,3.36511586735758,3.36511586735758,5.58622055886496,6.1850147177566,2.81989885039902,8.16819472482331,3.36511586735758,0,2.81989885039902,3.36511586735758,0,3.36511586735758,0,0,0,0,3.36511586735758,0,0,0,3.36511586735758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41177646818693
2009,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,14,0,0,0,0,6.56087157975186,0,0,0,2.23772678326229,0,0,0,2.23772678326229,0,0,8.10183390278286,8.23400919623472,4.82139811290693,0,6.82522216665558,4.82139811290693,3.28043578987593,3.28043578987593,0,3.41261108332779,4.82139811290693,10.7092383035647,6.56087157975186,3.28043578987593,0,3.28043578987593,8.10183390278286,0,0,0,0,0,3.28043578987593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28043578987593,0,0,0,0,0,0,0,2.87124564064678
2010,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,34,0,0,0,2.23762451743435,2.07837133921773,5.04063712211822,0,0,7.58224161321865,1.90782302666596,1.67482049310722,6.11914541941226,1.67482049310722,2.62113937033709,1.67482049310722,3.34964098621445,3.78176532193663,11.3844839389888,2.07837133921773,4.8813839439016,1.90782302666596,3.34964098621445,2.04735912768076,1.90782302666596,3.76249499523766,3.74992027776612,3.54876278837789,0,2.92469437320089,4.39089929073585,0,2.04735912768076,0,0,2.04735912768076,0,1.67482049310722,0,0,0,0,0,0,0,0,0,1.67482049310722,0,0,1.67482049310722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20431295478615
2011,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,24,0,0,2.75321284116273,2.64399566198363,0,4.22749516185284,0,0,6.48002651161742,0,1.80884681932698,4.17459111333764,1.71996101788152,3.39082882324835,1.71996101788152,0,4.47317385904426,5.50642568232547,6.85755238984672,0,9.85044572319474,2.75321284116273,1.71996101788152,2.36574429401067,0,8.2596385234882,2.36574429401067,10.6253828174989,4.0766891224672,4.0766891224672,0,0,0,0,0,2.75321284116273,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75321284116273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64399566198363
2012,"Enter Month","Enter Fleet",0,0,"Enter Numeric",-1,-1,29,0,0,0,0,5.11927619081507,2.28975501087813,6.47951188469536,2.58356809654486,8.46744250017349,10.3147586989568,5.11927619081507,0,0,0,0,0,0,0,2.58356809654486,5.63420178271647,2.97444094820495,4.47427842581953,5.19546892878173,0,2.97444094820495,0,5.63420178271647,5.43910398120994,2.53570809427021,0,5.51014904247515,2.97444094820495,0,0,0,0,2.74715542428693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51014904247515,0,0,0,0,0,0,0,0,0,0,2.90339588693973,0,2.53570809427021
