"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
2003,"all",17,60,41,41
2003,"unsexed",17,60,41,41
2004,"all",7,17,17,17
2004,"unsexed",7,17,17,17
2005,"all",11,19,26,19
2005,"unsexed",11,19,26,19
2006,"all",12,42,29,29
2006,"unsexed",12,42,29,29
2007,"all",9,19,21,19
2007,"unsexed",9,19,21,19
2008,"all",13,35,31,31
2008,"unsexed",13,35,31,31
2009,"all",6,28,14,14
2009,"unsexed",6,28,14,14
2010,"all",14,51,34,34
2010,"unsexed",14,51,34,34
2011,"all",10,43,24,24
2011,"unsexed",10,43,24,24
2012,"all",12,38,29,29
2012,"unsexed",12,38,29,29
2013,"all",10,32,24,24
2013,"unsexed",10,32,24,24
2014,"all",19,92,46,46
2014,"unsexed",19,92,46,46
2015,"all",11,48,26,26
2015,"unsexed",11,48,26,26
2016,"all",20,71,48,48
2016,"unsexed",20,71,48,48
2017,"all",16,41,38,38
2017,"unsexed",16,41,38,38
2018,"all",19,43,46,43
2018,"unsexed",19,43,46,43
2019,"all",9,34,21,21
2019,"unsexed",9,34,21,21
2021,"all",16,50,38,38
2021,"unsexed",16,50,38,38
2022,"all",15,45,36,36
2022,"unsexed",15,45,36,36
2023,"all",10,30,24,24
2023,"unsexed",10,30,24,24
2024,"all",19,46,46,46
2024,"unsexed",19,46,46,46
