"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2003,"Enter Month","Enter Fleet",0,0,41,0,0,0,0,0,0,0,0.474902018191868,0.366801314052942,0,0,0,1.7930420839879,1.08800876504972,40.9142558399478,21.6833027881607,21.5484043216788,2.65339468559648,1.50693303178849,1.11187404163233,2.36240309262589,0.805867675400084,0.810327091514117,0.664942827722648,0.810327091514117,0.332471413861324,0.332471413861324,0.740270503413441,0,0,0,0,0
2004,"Enter Month","Enter Fleet",0,0,17,0,0,0,0,0,0,0,0,0,0,6.61973124615522,0,6.01708283121876,0,10.1362604110864,3.96551130647232,0,0,12.6296249548988,6.61973124615522,22.9445083096425,0,7.15937357980223,9.58942895496417,14.3187471596045,0,0,0,0,0,0,0,0
2005,"Enter Month","Enter Fleet",0,0,19,0,4.23453250247243,0,0,0,7.31494515299468,0,0,0,0,10.8652898143942,4.95817235889625,0,0,7.31494515299468,13.4769273323087,0,9.17196050926476,15.3042101632029,6.8701528172375,7.67060500449106,4.58598025463238,8.23227893711041,0,0,0,0,0,0,0,0,0,0
2006,"Enter Month","Enter Fleet",0,0,29,0,0,0,0,0,0,3.0888704923929,0,2.50898239065524,6.16534853373071,2.10496927169579,2.5304794288699,2.10496927169579,0,7.27637030306509,4.48866322790072,7.08113510708641,7.12412918351572,11.4919351045689,9.14216627443709,8.43532371905451,2.89517302650591,8.75584734948352,4.88895061077816,2.06317032577592,4.95834335228183,0,0,2.89517302650591,0,0,0,0
2007,"Enter Month","Enter Fleet",0,0,19,0,0,0,0,5.70428869130498,11.40857738261,5.70428869130498,0,0,0,5.53555152840311,0,5.2147958608245,0,5.2147958608245,0,15.6443875824735,0,4.96291419702608,9.24077604726495,14.6256444833299,5.46875815565685,0,0,11.2752215189767,0,0,0,0,0,0,0,0
2008,"Enter Month","Enter Fleet",0,0,31,0,0,0,0,0,0,2.83365103128023,2.83365103128023,0,5.27280216399615,5.05358102620004,5.8887618234463,0,5.31445268050924,0,3.36511586735758,1.94933681315166,13.1507924012418,2.88030410353728,4.76923566355067,9.00491356815562,6.6691536857739,12.9152464524718,5.95699348514549,3.36511586735758,3.36511586735758,0,0,2.81989885039902,2.59187761778791,0,0,0
2009,"Enter Month","Enter Fleet",0,0,14,0,0,0,3.28043578987593,3.28043578987593,2.23772678326229,0,0,0,0,0,0,0,3.28043578987593,0,0,15.2931340924039,16.3358430990176,3.28043578987593,6.69304687320372,6.56087157975186,3.28043578987593,13.9896740934406,8.23400919623472,3.28043578987593,4.82139811290693,0,6.15168143052272,0,0,0,0,0
2010,"Enter Month","Enter Fleet",0,0,34,0,0,0,2.23762451743435,0,4.8813839439016,2.23762451743435,4.52896239700305,1.67482049310722,2.55778013389697,1.67482049310722,6.15265359089832,0,0,1.67482049310722,3.34964098621445,6.75532623917227,5.22395584139436,6.27014882779014,13.0061533740018,9.6129254587788,9.17876543583184,6.64687399398887,0,3.78176532193663,0,1.67482049310722,3.34964098621445,1.8546719685717,1.67482049310722,0,0,0
2011,"Enter Month","Enter Fleet",0,0,24,0,2.75321284116273,2.64399566198363,2.75321284116273,0,0,1.47428232069011,0,4.08570531189219,1.80884681932698,0,2.39432119972523,1.71996101788152,0,1.65223356857503,6.92780395450038,5.50642568232547,6.85755238984672,15.1171909133349,10.9246234649471,11.9578752882283,10.6253828174989,5.50642568232547,2.64695256260893,2.64399566198363,0,0,0,0,0,0,0,0
2012,"Enter Month","Enter Fleet",0,0,29,0,0,0,2.58356809654486,0,3.66931449618496,0,2.56424430511832,2.58356809654486,5.07141618854041,8.54364881750015,5.11927619081507,7.70284428735993,2.53570809427021,0,0,0,2.65976083451152,1.49983747761458,8.21776987926133,5.9488818964099,8.09886481572146,8.92332284461484,2.97444094820495,5.07141618854041,8.25730446676208,2.90339588693973,2.53570809427021,0,2.53570809427021,0,0,0
